ORDER_NO,ORDER_DATE,CUSTOMER_NO,PRODUCT_NUMBER,ORDER_QUANTITY,SALES_PRICE,SHIP_DATE,SHIP_QUANTITY,INVOICE_NO,INVOICE_DATE,SUBTOTAL,TAX,INVOICE_TOTAL,DUE_DATE
37909,06/04/2021,100329,29007381,22,8.5,06/14/2021,22,566225,06/14/2021,187,15.43,202.43,07/14/2021
37910,06/05/2021,100303,10951708,80,17.68,06/15/2021,80,566226,06/15/2021,1414.4,116.69,1531.09,07/15/2021
37911,06/06/2021,100208,10960673,95,530.98,06/16/2021,95,566227,06/16/2021,50443.1,4161.56,54604.66,07/16/2021
37912,06/07/2021,100220,10960824,9,460.18,06/17/2021,9,566228,06/17/2021,4141.62,341.68,4483.3,07/17/2021
37913,06/08/2021,100305,10962589,55,61.91,06/18/2021,55,566229,06/18/2021,3405.05,280.92,3685.97,07/18/2021
37914,06/09/2021,100228,10971023,18,31.82,06/19/2021,18,566230,06/19/2021,572.76,47.25,620.01,07/19/2021
37915,06/10/2021,100133,11348398,22,7.04,06/20/2021,22,566231,06/20/2021,154.88,12.78,167.66,07/20/2021
37917,06/11/2021,100290,72723536,35,97.31,06/21/2021,35,566232,06/21/2021,3405.85,280.98,3686.83,07/21/2021
37916,06/11/2021,100262,12224279,85,14.14,06/21/2021,85,566233,06/21/2021,1201.9,99.16,1301.06,07/21/2021
37918,06/12/2021,100251,12224436,16,115.01,06/22/2021,16,566234,06/22/2021,1840.16,151.81,1991.97,07/22/2021
37919,06/13/2021,100220,12244038,99,24.76,06/23/2021,99,566235,06/23/2021,2451.24,202.23,2653.47,07/23/2021
37920,06/14/2021,100334,12262648,73,7.06,06/24/2021,73,566236,06/24/2021,515.38,42.52,557.9,07/24/2021
37921,06/17/2021,100122,84826236,21,17.68,06/27/2021,21,566237,06/27/2021,371.28,30.63,401.91,07/27/2021
37922,06/18/2021,100234,84826260,62,17.68,06/28/2021,62,566238,06/28/2021,1096.16,90.43,1186.59,07/28/2021
37923,06/19/2021,100290,84826296,37,17.68,06/29/2021,37,566239,06/29/2021,654.16,53.97,708.13,07/29/2021
37925,06/20/2021,100280,84826320,89,17.68,06/30/2021,89,566240,06/30/2021,1573.52,129.82,1703.34,07/30/2021
37924,06/20/2021,100267,48673525,97,19.43,06/30/2021,97,566241,06/30/2021,1884.71,173.12,2057.83,07/30/2021
37926,06/21/2021,100309,84826635,14,17.68,07/01/2021,14,566242,07/01/2021,247.52,20.42,267.94,07/31/2021
37927,06/22/2021,100307,84826659,14,17.68,07/02/2021,14,566243,07/02/2021,247.52,20.42,267.94,08/01/2021
37928,06/30/2021,100221,48690744,71,17.15,07/10/2021,71,566244,07/10/2021,1217.65,100.46,1318.11,08/09/2021
37929,07/18/2021,100140,29195742,5,2.11,07/28/2021,5,566245,07/28/2021,10.55,1.4,11.95,08/27/2021
37930,07/23/2021,100290,96950667,57,5.52,08/02/2021,57,566246,08/02/2021,314.64,25.96,340.6,09/01/2021
37931,07/24/2021,100179,96952470,14,4.94,08/03/2021,14,566247,08/03/2021,69.16,5.71,74.87,09/02/2021
37932,07/25/2021,100165,96952530,63,0.87,08/04/2021,63,566248,08/04/2021,54.81,4.52,59.33,09/03/2021
37933,07/26/2021,100329,96952833,24,0.69,08/05/2021,24,566249,08/05/2021,16.56,1.37,17.93,09/04/2021
37934,07/27/2021,100277,97326880,92,92,08/06/2021,92,566250,08/06/2021,8464,698.28,9162.28,09/05/2021
37935,07/28/2021,100207,97420461,93,83.15,08/07/2021,93,566251,08/07/2021,7732.95,637.97,8370.92,09/06/2021
37937,07/29/2021,100119,48672231,40,24.74,08/08/2021,40,566252,08/08/2021,989.6,81.64,1071.24,09/07/2021
37936,07/29/2021,100308,97931868,41,104.39,08/08/2021,41,566253,08/08/2021,4279.99,353.1,4633.09,09/07/2021
37939,07/30/2021,100177,97935885,7,5.52,08/09/2021,7,566254,08/09/2021,38.64,3.19,41.83,09/08/2021
37938,07/30/2021,100345,63174759,28,0.16,08/09/2021,28,566255,08/09/2021,4.48,0.37,4.85,09/08/2021
37940,07/31/2021,100304,97936188,17,5.52,08/10/2021,17,566256,08/10/2021,93.84,7.74,101.58,09/09/2021
37941,08/01/2021,100315,10891211,22,1.75,08/11/2021,22,566257,08/11/2021,38.5,3.18,41.68,09/10/2021
37942,08/02/2021,100151,10899801,50,140.72,08/12/2021,50,566258,08/12/2021,7036,580.47,7616.47,09/11/2021
37943,08/03/2021,100314,10950627,51,17.68,08/13/2021,51,566259,08/13/2021,901.68,74.39,976.07,09/12/2021
37944,08/04/2021,100252,10950688,35,5.29,08/14/2021,35,566260,08/14/2021,185.15,15.27,200.42,09/13/2021
37945,08/05/2021,100128,10950991,75,4.41,08/15/2021,75,566261,08/15/2021,330.75,27.29,358.04,09/14/2021
37946,08/06/2021,100247,10951076,88,22.97,08/16/2021,88,566262,08/16/2021,2021.36,166.76,2188.12,09/15/2021
37948,08/07/2021,100140,29161378,93,19.38,08/17/2021,93,566263,08/17/2021,1802.34,181.85,1984.19,09/16/2021
37949,08/07/2021,100140,10951445,6,30.05,08/17/2021,6,566264,08/17/2021,180.3,14.87,195.17,09/16/2021
37947,08/07/2021,100248,97931868,26,104.39,08/17/2021,26,566265,08/17/2021,2714.14,190.68,2904.82,09/16/2021
37951,08/08/2021,100337,10951449,28,9.72,08/18/2021,28,566266,08/18/2021,272.16,22.45,294.61,09/17/2021
37950,08/08/2021,100149,36799431,2,32.73,08/18/2021,2,566267,08/18/2021,65.46,5.4,70.86,09/17/2021
37953,08/09/2021,100222,36799613,87,6.18,08/19/2021,87,566268,08/19/2021,537.66,44.36,582.02,09/18/2021
37952,08/09/2021,100157,10951450,90,17.68,08/19/2021,90,566269,08/19/2021,1591.2,131.27,1722.47,09/18/2021
37955,08/10/2021,100185,10951491,11,8.83,08/20/2021,11,566270,08/20/2021,97.13,8.01,105.14,09/19/2021
37954,08/10/2021,100100,36801282,82,45.98,08/20/2021,82,566271,08/20/2021,3770.36,311.05,4081.41,09/19/2021
37957,08/11/2021,100325,36801319,68,106.16,08/21/2021,68,566272,08/21/2021,7218.88,595.56,7814.44,09/20/2021
37956,08/11/2021,100301,36801319,42,106.16,08/21/2021,42,566273,08/21/2021,4458.72,378.3,4837.02,09/20/2021
37958,08/11/2021,100175,10951657,12,3.5,08/21/2021,12,566274,08/21/2021,42,3.46,45.47,09/20/2021
37959,08/12/2021,100111,10951702,48,19.43,08/22/2021,48,566275,08/22/2021,932.64,76.94,1009.58,09/21/2021
37960,08/12/2021,100177,37430652,56,13.79,08/22/2021,56,566276,08/22/2021,772.24,63.71,835.95,09/21/2021
37962,08/13/2021,100183,41448554,12,26.51,08/23/2021,12,566277,08/23/2021,318.12,26.24,344.36,09/22/2021
37961,08/13/2021,100294,10951708,25,17.68,08/23/2021,25,566278,08/23/2021,442,36.47,478.46,09/22/2021
37963,08/14/2021,100140,48666290,60,141.56,08/24/2021,60,566279,08/24/2021,8493.6,700.72,9194.32,09/23/2021
37964,08/14/2021,100303,10960673,1,530.98,08/24/2021,1,566280,08/24/2021,530.98,43.81,574.79,09/23/2021
37967,08/15/2021,100241,10960824,61,460.18,08/25/2021,61,566281,08/25/2021,28070.98,2315.86,30386.84,09/24/2021
37966,08/15/2021,100345,48672231,93,24.74,08/25/2021,93,566282,08/25/2021,2300.82,189.82,2490.64,09/24/2021
37965,08/15/2021,100291,48672267,5,19.43,08/25/2021,5,566283,08/25/2021,97.15,8.01,105.16,09/24/2021
37968,08/16/2021,100316,10962589,24,61.91,08/26/2021,24,566284,08/26/2021,1485.84,122.58,1608.42,09/25/2021
37969,08/16/2021,100248,48672267,4,19.43,08/26/2021,4,566285,08/26/2021,77.72,6.41,84.13,09/25/2021
37971,08/17/2021,100200,10971023,72,31.82,08/27/2021,72,566286,08/27/2021,2291.04,189.01,2480.05,09/26/2021
37972,08/17/2021,100327,48673380,13,12.37,08/27/2021,13,566287,08/27/2021,160.81,13.27,174.08,09/26/2021
37970,08/17/2021,100344,63506154,39,15.22,08/27/2021,39,566288,08/27/2021,593.58,49.01,642.59,09/26/2021
37975,08/18/2021,100235,63172654,22,14.16,08/28/2021,22,566289,08/28/2021,311.52,28.42,339.94,09/27/2021
37974,08/18/2021,100109,11348398,72,7.04,08/28/2021,72,566290,08/28/2021,506.88,41.82,548.7,09/27/2021
37973,08/18/2021,100188,48673525,22,19.43,08/28/2021,22,566291,08/28/2021,427.46,35.27,462.73,09/27/2021
37976,08/19/2021,100273,12224279,2,14.14,08/29/2021,2,566292,08/29/2021,28.28,2.33,30.61,09/28/2021
37978,08/19/2021,100124,48680955,55,159.26,08/29/2021,55,566293,08/29/2021,8759.3,722.64,9481.94,09/28/2021
37977,08/19/2021,100139,63172654,22,14.16,08/29/2021,22,566294,08/29/2021,311.52,25.7,337.22,09/28/2021
37979,08/20/2021,100252,12224436,29,115.01,08/30/2021,29,566295,08/30/2021,3335.29,275.16,3610.45,09/29/2021
37980,08/20/2021,100250,48690744,14,17.15,08/30/2021,14,566296,08/30/2021,240.1,19.81,259.91,09/29/2021
37983,08/21/2021,100133,84826260,62,17.68,08/31/2021,62,566297,08/31/2021,1096.16,85.05,1181.21,11/29/2021
37982,08/21/2021,100159,48691203,16,70.76,08/31/2021,16,566298,08/31/2021,1132.16,93.4,1225.56,09/30/2021
37981,08/21/2021,100170,12244038,12,24.76,08/31/2021,12,566299,08/31/2021,297.12,24.51,321.63,09/30/2021
37985,08/22/2021,100242,48691470,12,17.68,09/01/2021,12,566300,09/01/2021,212.16,17.5,229.66,10/01/2021
37984,08/22/2021,100216,12262648,39,7.06,09/01/2021,39,566301,09/01/2021,275.34,22.72,298.06,10/01/2021
37991,08/23/2021,100327,36693108,47,26.51,09/02/2021,47,566302,09/02/2021,1245.97,101.59,1347.56,10/02/2021
37989,08/23/2021,100140,84826320,67,17.68,09/02/2021,67,566303,09/02/2021,1184.56,91.73,1276.29,12/01/2021
37988,08/23/2021,100333,36801319,50,106.16,09/02/2021,50,566304,09/02/2021,5308,437.91,5745.91,10/02/2021
37993,08/23/2021,100272,12287732,90,22.99,09/02/2021,90,566305,09/02/2021,2069.1,180.43,2249.53,10/02/2021
37995,08/23/2021,100171,48691990,34,45.98,09/02/2021,34,566306,09/02/2021,1563.32,128.97,1692.29,10/02/2021
37992,08/23/2021,100272,48691470,47,17.68,09/02/2021,47,566307,09/02/2021,830.96,67.17,898.13,12/01/2021
37987,08/23/2021,100329,72735878,42,26.51,09/02/2021,42,566308,09/02/2021,1113.42,91.8599999999999,1205.28,10/02/2021
37986,08/23/2021,100140,72723560,72,61.74,09/02/2021,72,566309,09/02/2021,4445.28,370.63,4815.91,10/02/2021
37990,08/23/2021,100145,10951450,59,17.68,09/02/2021,59,566310,09/02/2021,1043.12,50.5400000000002,1093.66,12/01/2021
37994,08/23/2021,100290,10951450,90,17.68,09/02/2021,90,566310,09/02/2021,1591.2,137.07,1728.27,12/01/2021
37997,08/24/2021,100312,72868010,56,22.99,09/03/2021,56,566312,09/03/2021,1287.44,103.64,1391.08,10/03/2021
38004,08/24/2021,100140,84826320,67,17.68,09/03/2021,67,566313,09/03/2021,1184.56,91.73,1276.29,12/02/2021
38001,08/24/2021,100191,29166218,49,23.9,09/03/2021,49,566314,09/03/2021,1171.1,86.49,1257.59,10/03/2021
37996,08/24/2021,100169,48692522,1,38.9,09/03/2021,1,566315,09/03/2021,38.9,3.21,42.11,10/03/2021
38003,08/24/2021,100129,29209439,97,58.32,09/03/2021,97,566316,09/03/2021,5657.04,318.25,5975.29,10/03/2021
38005,08/24/2021,100189,37430652,56,13.79,09/03/2021,56,566317,09/03/2021,772.24,57.71,829.95,12/02/2021
37999,08/24/2021,100140,36801319,42,106.16,09/03/2021,42,566318,09/03/2021,4458.72,446.37,4905.09,10/03/2021
37998,08/24/2021,100241,48698911,45,33.59,09/03/2021,45,566319,09/03/2021,1511.55,129.43,1640.98,12/02/2021
38002,08/24/2021,100140,97931868,26,104.39,09/03/2021,26,566320,09/03/2021,2714.14,228.91,2943.05,10/03/2021
38000,08/24/2021,100143,28923492,66,26.46,09/03/2021,66,566321,09/03/2021,1746.36,168.06,1914.42,12/02/2021
38009,08/25/2021,100346,10951491,77,8.83,09/04/2021,77,566322,09/04/2021,679.91,49.35,729.26,12/03/2021
38010,08/25/2021,100140,84826320,67,17.68,09/04/2021,67,566323,09/04/2021,1184.56,91.73,1276.29,12/03/2021
38011,08/25/2021,100175,21794781,58,9.01,09/04/2021,58,566324,09/04/2021,522.58,42.0799999999999,564.66,12/03/2021
38008,08/25/2021,100230,72735878,56,26.51,09/04/2021,56,566325,09/04/2021,1484.56,120.74,1605.3,10/04/2021
38006,08/25/2021,100198,63506130,82,10.07,09/04/2021,82,566326,09/04/2021,825.74,68.11,893.85,12/03/2021
38007,08/25/2021,100190,48694301,15,132.71,09/04/2021,15,566327,09/04/2021,1990.65,164.23,2154.88,10/04/2021
38013,08/25/2021,100140,10899801,26,140.72,09/04/2021,26,566328,09/04/2021,3658.72,265.35,3924.07,10/04/2021
38012,08/25/2021,100180,72735878,56,26.51,09/04/2021,56,566329,09/04/2021,1484.56,120.74,1605.3,10/04/2021
38014,08/26/2021,100237,48698911,45,33.59,09/05/2021,45,566330,09/05/2021,1511.55,124.7,1636.25,10/05/2021
38015,08/27/2021,100140,48727092,58,884.96,09/06/2021,58,566331,09/06/2021,51327.68,4234.53,55562.21,10/06/2021
38017,08/29/2021,100326,63167475,22,21.24,09/08/2021,22,566332,09/08/2021,467.28,38.58,505.86,10/08/2021
38019,08/29/2021,100227,72723548,63,58.37,09/08/2021,63,566333,09/08/2021,3677.31,335.94,4013.25,10/08/2021
38016,08/29/2021,100280,72842370,99,30.05,09/08/2021,99,566334,09/08/2021,2974.95,215.76,3190.71,12/07/2021
38018,08/29/2021,100255,12374210,39,28.3,09/08/2021,39,566335,09/08/2021,1103.7,93.53,1197.23,10/08/2021
38020,08/30/2021,100339,97420461,83,83.15,09/09/2021,83,566336,09/09/2021,6901.45,589.96,7491.41,10/09/2021
38022,08/30/2021,100246,29161378,93,19.38,09/09/2021,93,566337,09/09/2021,1802.34,175.82,1978.16,10/09/2021
38023,08/30/2021,100116,11348398,84,7.04,09/09/2021,84,566338,09/09/2021,591.36,47.24,638.6,10/09/2021
38021,08/30/2021,100273,84826635,98,17.68,09/09/2021,98,566339,09/09/2021,1732.64,133.68,1866.32,12/08/2021
38025,08/31/2021,100302,63506166,38,6.71,09/10/2021,38,566340,09/10/2021,254.98,24.05,279.03,10/10/2021
38024,08/31/2021,100327,96924531,40,0.78,09/10/2021,40,566341,09/10/2021,31.2,3.39,34.59,10/10/2021
38026,09/01/2021,100306,72735878,56,26.51,09/11/2021,56,566342,09/11/2021,1484.56,120.74,1605.3,10/11/2021
38027,09/01/2021,100104,12263423,7,70.76,09/11/2021,7,566343,09/11/2021,495.32,40.86,536.18,10/11/2021
38028,09/02/2021,100316,12287732,8,22.99,09/12/2021,8,566344,09/12/2021,183.92,15.17,199.09,10/12/2021
38030,09/03/2021,100214,12287744,19,24.76,09/13/2021,19,566345,09/13/2021,470.44,38.81,509.25,10/13/2021
38029,09/03/2021,100339,36799613,36,6.18,09/13/2021,36,566346,09/13/2021,222.48,18.35,240.83,10/13/2021
38035,09/04/2021,100222,72735878,56,26.51,09/14/2021,56,566347,09/14/2021,1484.56,120.74,1605.3,10/14/2021
38036,09/04/2021,100210,12287756,11,19.45,09/14/2021,11,566348,09/14/2021,213.95,17.65,231.6,10/14/2021
38040,09/04/2021,100210,29276267,94,12.35,09/14/2021,94,566349,09/14/2021,1160.9,87.6099999999999,1248.51,10/14/2021
38034,09/04/2021,100180,63506154,57,15.22,09/14/2021,57,566350,09/14/2021,867.54,54.59,922.13,10/14/2021
38038,09/04/2021,100216,36693012,78,8.3,09/14/2021,78,566351,09/14/2021,647.4,51.91,699.31,10/14/2021
38031,09/04/2021,100125,36666513,73,30.05,09/14/2021,73,566352,09/14/2021,2193.65,197.82,2391.47,12/13/2021
38033,09/04/2021,100190,48691990,84,45.98,09/14/2021,84,566352,09/14/2021,3862.32,393.5,4255.82,12/13/2021
38039,09/04/2021,100104,63506142,37,11.74,09/14/2021,37,566354,09/14/2021,434.38,36.18,470.56,12/13/2021
38037,09/04/2021,100339,37430652,56,13.79,09/14/2021,56,566355,09/14/2021,772.24,58.87,831.11,12/13/2021
38032,09/04/2021,100264,29161378,93,19.38,09/14/2021,93,566356,09/14/2021,1802.34,175.98,1978.32,12/13/2021
38041,09/05/2021,100299,72735878,56,26.51,09/15/2021,56,566357,09/15/2021,1484.56,120.74,1605.3,10/15/2021
38042,09/05/2021,100332,36667045,93,22.97,09/15/2021,93,566357,09/15/2021,2136.21,233.74,2369.95,12/14/2021
38043,09/05/2021,100258,10951445,31,30.05,09/15/2021,31,566357,09/15/2021,931.55,69.33,1000.88,12/14/2021
38044,09/05/2021,100213,37430652,56,13.79,09/15/2021,56,566360,09/15/2021,772.24,58.87,831.11,12/14/2021
38045,09/05/2021,100234,12350736,53,10.25,09/15/2021,53,566361,09/15/2021,543.25,44.82,588.07,10/15/2021
38047,09/06/2021,100129,12374210,39,28.3,09/16/2021,39,566362,09/16/2021,1103.7,91.06,1194.76,10/16/2021
38049,09/06/2021,100223,72723524,43,79.46,09/16/2021,43,566363,09/16/2021,3416.78,364.84,3781.62,12/15/2021
38046,09/06/2021,100257,48672231,40,24.74,09/16/2021,40,566364,09/16/2021,989.6,69.08,1058.68,12/15/2021
38050,09/06/2021,100179,29201066,27,24.69,09/16/2021,27,566365,09/16/2021,666.63,50.76,717.39,10/16/2021
38048,09/06/2021,100167,36799613,87,6.18,09/16/2021,87,566366,09/16/2021,537.66,45.26,582.92,10/16/2021
38051,09/07/2021,100262,12476177,20,35.38,09/17/2021,20,566367,09/17/2021,707.6,58.38,765.98,10/17/2021
38052,09/08/2021,100140,84826320,67,17.68,09/07/2021,67,566368,09/18/2021,1184.56,91.73,1276.29,12/17/2021
38053,09/08/2021,100178,12477278,37,97.33,09/18/2021,37,566369,09/18/2021,3601.21,297.1,3898.31,10/18/2021
38054,09/08/2021,100223,12287756,38,19.45,09/18/2021,38,566370,09/18/2021,739.1,60.67,799.77,10/18/2021
38055,09/09/2021,100244,12477508,34,7.06,09/19/2021,34,566371,09/19/2021,240.04,19.8,259.84,10/19/2021
38056,09/10/2021,100255,12767121,8,10.6,09/20/2021,8,566372,09/20/2021,84.8,7,91.8,10/20/2021
38057,09/11/2021,100246,12863679,6,6.35,09/21/2021,6,566373,09/21/2021,38.1,3.14,41.24,10/21/2021
38058,09/11/2021,100236,63506166,38,6.71,09/21/2021,38,566374,09/21/2021,254.98,27.35,282.33,12/20/2021
38061,09/12/2021,100284,63167475,82,21.24,09/22/2021,82,566375,09/22/2021,1741.68,144.43,1886.11,12/21/2021
38063,09/12/2021,100126,36801282,14,45.98,09/22/2021,14,566376,09/22/2021,643.72,53.29,697.01,10/22/2021
38059,09/28/2021,100345,72868228,68,8.83,09/22/2021,68,566377,09/22/2021,600.44,52.43,652.87,10/22/2021
38060,09/12/2021,100119,12863740,50,6.71,09/22/2021,50,566378,09/22/2021,335.5,27.68,363.18,10/22/2021
38062,09/12/2021,100293,29208640,62,14.07,09/22/2021,62,566379,09/22/2021,872.34,72.54,944.88,12/21/2021
38069,09/13/2021,100101,15766978,36,40.67,09/23/2021,36,566380,09/23/2021,1464.12,120.79,1584.91,10/23/2021
38065,09/13/2021,100273,29208640,27,14.07,09/23/2021,27,566381,09/23/2021,379.89,30.5,410.39,10/23/2021
38064,09/13/2021,100140,84826320,67,17.68,09/23/2021,67,566382,09/23/2021,1184.56,91.73,1276.29,12/22/2021
38068,09/13/2021,100132,10951702,40,19.43,09/23/2021,40,566383,09/23/2021,777.2,61.15,838.35,12/22/2021
38067,09/13/2021,100309,36799431,91,32.73,09/23/2021,91,566384,09/23/2021,2978.43,257.94,3236.37,12/22/2021
38066,09/13/2021,100216,48735356,28,92,09/23/2021,28,566385,09/23/2021,2576,217.33,2793.33,12/22/2021
38071,09/13/2021,100152,10951450,59,17.68,09/23/2021,59,566386,09/23/2021,1043.12,50.73,1093.85,10/23/2021
38070,09/13/2021,100268,10951708,80,17.68,09/23/2021,80,566387,09/23/2021,1414.4,104.04,1518.44,12/22/2021
38073,09/14/2021,100117,29186812,9,6.55,09/24/2021,9,566388,09/24/2021,58.95,10.43,69.38,10/24/2021
38072,09/14/2021,100305,37430652,56,13.79,09/24/2021,56,566389,09/24/2021,772.24,57.71,829.95,12/23/2021
38074,09/14/2021,100109,21794781,25,9.01,09/24/2021,25,566390,09/24/2021,225.25,18.58,243.83,10/24/2021
38075,09/14/2021,100140,29161378,80,19.38,09/24/2021,80,566391,09/24/2021,1550.4,115.91,1666.31,12/23/2021
38076,09/15/2021,100140,72842370,56,30.05,09/25/2021,56,566392,09/25/2021,1682.8,116.03,1798.83,10/25/2021
38077,09/15/2021,100163,28923492,17,26.46,09/25/2021,17,566393,09/25/2021,449.82,37.11,486.93,10/25/2021
38078,09/16/2021,100226,28975110,57,14.07,09/26/2021,57,566394,09/26/2021,801.99,66.16,868.15,10/26/2021
38079,09/17/2021,100192,29007381,69,8.5,09/27/2021,69,566395,09/27/2021,586.5,48.39,634.89,10/27/2021
38080,09/18/2021,100295,29161378,99,19.38,09/28/2021,99,566396,09/28/2021,1918.62,158.29,2076.91,10/28/2021
38081,09/18/2021,100257,63506130,49,10.07,09/28/2021,49,566397,09/28/2021,493.43,36.09,529.52,10/28/2021
38082,09/18/2021,100173,96949965,51,10.6,09/28/2021,51,566398,09/28/2021,540.6,46.92,587.52,10/28/2021
38083,09/18/2021,100170,29208640,62,14.07,09/28/2021,62,566399,09/28/2021,872.34,70.74,943.08,12/27/2021
38085,09/19/2021,100145,10971023,18,31.82,09/29/2021,18,566400,09/29/2021,572.76,49.7,622.46,10/29/2021
38084,09/19/2021,100343,63851718,96,0.71,09/29/2021,96,566401,09/29/2021,68.16,5.47,73.63,10/29/2021
38086,09/19/2021,100154,97420461,97,83.15,09/29/2021,97,566402,09/29/2021,8065.55,665.41,8730.96,10/29/2021
38087,09/19/2021,100166,63172654,56,14.16,09/29/2021,56,566403,09/29/2021,792.96,65.87,858.83,10/29/2021
38088,09/19/2021,100289,72842370,56,30.05,09/29/2021,56,566404,09/29/2021,1682.8,100.87,1783.67,10/29/2021
38089,09/19/2021,100323,29166218,10,23.9,09/29/2021,10,566405,09/29/2021,239,19.72,258.72,10/29/2021
38095,09/20/2021,100210,97931868,26,104.39,09/30/2021,26,566406,09/30/2021,2714.14,223.92,2938.06,10/30/2021
38096,09/20/2021,100240,72723548,23,58.37,09/30/2021,23,566407,09/30/2021,1342.51,103.23,1445.74,10/30/2021
38090,09/20/2021,100223,72721370,9,26.51,09/30/2021,9,566408,09/30/2021,238.59,19.56,258.15,10/30/2021
38094,09/20/2021,100294,29168880,30,33.54,09/30/2021,30,566409,09/30/2021,1006.2,83.01,1089.21,10/30/2021
38097,09/20/2021,100188,10951445,31,30.05,09/30/2021,31,566410,09/30/2021,931.55,63.0500000000001,994.6,12/29/2021
38091,09/20/2021,100143,36336691,85,12.35,09/30/2021,85,566411,09/30/2021,1049.75,88.9100000000001,1138.66,10/30/2021
38092,09/20/2021,100113,29161378,93,19.38,09/30/2021,93,566412,09/30/2021,1802.34,154.53,1956.87,10/30/2021
38093,09/20/2021,100140,10951445,80,30.05,09/30/2021,80,566413,09/30/2021,2404,187.43,2591.43,12/29/2021
38098,09/21/2021,100195,29171421,51,31.77,10/01/2021,51,566414,10/01/2021,1620.27,133.67,1753.94,10/31/2021
38099,09/21/2021,100302,97935885,75,5.52,10/01/2021,75,566415,10/01/2021,414,34.16,448.15,10/31/2021
38101,09/22/2021,100320,48692522,1,38.9,10/02/2021,1,566416,10/02/2021,38.9,4.42,43.32,11/01/2021
38100,09/22/2021,100207,48694301,15,132.71,10/02/2021,15,566417,10/02/2021,1990.65,184.24,2174.89,11/01/2021
38102,09/22/2021,100333,29175716,77,11.49,10/02/2021,77,566418,10/02/2021,884.73,72.99,957.72,11/01/2021
38103,09/22/2021,100103,97936188,38,5.52,10/02/2021,38,566419,10/02/2021,209.76,17.31,227.07,11/01/2021
38105,09/23/2021,100112,10891211,44,1.75,10/03/2021,44,566420,10/03/2021,77,6.35,83.35,11/02/2021
38104,09/23/2021,100344,29186812,12,6.55,10/03/2021,12,566421,10/03/2021,78.6,6.48,85.08,11/02/2021
38106,09/24/2021,100140,10899801,93,140.72,10/04/2021,93,566422,10/04/2021,13086.96,1079.67,14166.63,11/03/2021
38118,09/25/2021,100291,12477508,83,7.06,10/05/2021,83,566423,10/05/2021,585.98,43.77,629.75,11/04/2021
38112,09/25/2021,100140,72735878,56,26.51,10/05/2021,56,566424,10/05/2021,1484.56,120.74,1605.3,11/04/2021
38115,09/25/2021,100140,10962589,24,61.91,10/05/2021,24,566425,10/05/2021,1485.84,124.44,1610.28,11/04/2021
38117,09/25/2021,100162,10950627,53,17.68,10/05/2021,53,566426,10/05/2021,937.04,77.31,1014.35,11/04/2021
38116,09/25/2021,100109,72735878,56,26.51,10/05/2021,56,566427,10/05/2021,1484.56,120.74,1605.3,11/04/2021
38111,09/25/2021,100197,41448554,18,26.51,10/05/2021,18,566428,10/05/2021,477.18,33.73,510.91,11/04/2021
38108,09/25/2021,100246,36693108,47,26.51,10/05/2021,47,566429,10/05/2021,1245.97,76.48,1322.45,11/04/2021
38107,09/25/2021,100148,84826260,62,17.68,10/05/2021,62,566430,10/05/2021,1096.16,71.73,1167.89,11/04/2021
38114,09/25/2021,100255,10951445,31,30.05,10/05/2021,31,566431,10/05/2021,931.55,71.1600000000001,1002.71,11/04/2021
38110,09/25/2021,100208,36667130,68,8.3,10/05/2021,68,566432,10/05/2021,564.4,46.5600000000001,610.96,11/04/2021
38109,09/25/2021,100189,28975110,28,14.07,10/05/2021,28,566433,10/05/2021,393.96,36.45,430.41,11/04/2021
38113,09/25/2021,100330,72723524,4,79.46,10/05/2021,4,566434,10/05/2021,317.84,24.66,342.5,11/04/2021
38127,09/26/2021,100188,84826320,89,17.68,10/06/2021,89,566435,10/06/2021,1573.52,120.96,1694.48,11/05/2021
38124,09/26/2021,100298,10950688,39,5.29,10/06/2021,39,566436,10/06/2021,206.31,17.02,223.33,11/05/2021
38119,09/26/2021,100293,28975110,28,14.07,10/06/2021,28,566437,10/06/2021,393.96,32.86,426.82,11/05/2021
38121,09/26/2021,100241,29276267,94,12.35,10/06/2021,94,566438,10/06/2021,1160.9,87.6699999999999,1248.57,11/05/2021
38128,09/26/2021,100176,72735878,56,26.51,10/06/2021,56,566439,10/06/2021,1484.56,120.74,1605.3,11/05/2021
38120,09/26/2021,100140,36799431,68,32.73,10/06/2021,68,566440,10/06/2021,2225.64,182.31,2407.95,11/05/2021
38122,09/26/2021,100197,63529846,74,8.5,10/06/2021,74,566441,10/06/2021,629,50.4,679.4,11/05/2021
38125,09/26/2021,100202,29168880,73,33.54,10/06/2021,73,566442,10/06/2021,2448.42,196.61,2645.03,11/05/2021
38123,09/26/2021,100202,63174759,85,0.16,10/06/2021,85,566443,10/06/2021,13.6,1.12,14.72,11/05/2021
38126,09/26/2021,100261,12287732,8,22.99,10/06/2021,8,566444,10/06/2021,183.92,15.03,198.95,11/05/2021
38129,09/27/2021,100321,72735878,56,26.51,10/07/2021,56,566445,10/07/2021,1484.56,120.74,1605.3,11/06/2021
38130,09/27/2021,100228,63851718,96,0.71,10/07/2021,96,566446,10/07/2021,68.16,6.12,74.28,11/06/2021
38131,09/27/2021,100203,10950991,8,4.41,10/07/2021,8,566447,10/07/2021,35.28,2.91,38.19,11/06/2021
